Blog,Down,Judul,Tahun,MAL,Rating,AniList,Rating,Kitsu,Rating,AniDB,Rating,Ani-Planet,Rating,Notify,Rating,Annict,Rating,Shiki,Rating,SIMKL,Rating,Trakt,Rating,IMDb,Rating,TMDB,Rating,|,9anime,AWSubs,Amazon,AniBatch,Anitoki,Anime Craks,Anime HADE,Anime Twist,AnimeIndo,anoBoy,bilibili,cdJapan,Crunchyroll,Crunchy IDN,D-AnimeSub,Drivenime,Funimation,GogoAnime,HIDIVE,Hinime,Hulu,HunterNoSekai,iflix,IndoXXI,itunes,Kazefuri,KissAnime,Kusonime,LoliBatch,MS Store,Mikanime,Neonime,Netflix,Netflix IDN,NND,Nonton Anime,Nyaa.si,OPLovers,Otaku STREAM,PendekarSubs,PerpusIndo,Quinime,RiiE,RuangOtaku,Samehadaku,WibuDesu!,YukiFansub,Zensub
1,6mYCpKimR,Katsudou Shashin,1905,33187,,101429,,11564,,6639,,katsudou-shashin,,6mYCpKimR,,N/A,,33187,,37210,,movies/moving-picture-1907,,tt1226777,,movie/196462,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shokugeki no Souma,2015,,,,,,,,,,,,,,,,,,,,,tt4731072,,,,,,,,,,,,,,,,,,,,,,,,,,,10970,,,,,,,,,,80182054,80182054,,,,,,,,,,,,,,
,,Shokugeki no Souma S2,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11852,,,,,,,,,,80182054,80182054,,,,,,,,,,,,,,
,,Shokugeki no Souma S3,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80182054,80182054,,,,,,,,,,,,,,
,,Akame ga Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All Out!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ao Haru Ride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ansatsu Kyoshitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zetsuen no Tempest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ao no Exorcist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fullmetal Panic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kumamiko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Haikyuu!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NZ8lpFiig,Kono Subarashii Sekai ni Shukufuku wo!,2016,,,,,,,,,,,NZ8lpFiig,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mob Psycho 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,One Punch Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xo-PcKmmg,Rental Magica,,,,,,,,,,,,Xo-PcKmmg,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Akagami no Shirayuki Hime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Shigatsu wa Kimi no Uso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
